Team,W,L,WIN%,GB,CONF,DIV,HOME,ROAD,Neutral,OT,LAST10,STREAK
Ind,56,26,0.683,--,38-14,12-4,35-6,21-20,,4-0,4-6,W 2
Mia,54,28,0.659,2,34-18,12-4,32-9,22-19,,2-4,4-6,L 3
Tor,48,34,0.585,8,32-20,11-5,26-15,22-19,,1-6,7-3,L 1
Chi,48,34,0.585,8,35-17,11-5,27-14,21-20,,3-3,8-2,L 1
Was,44,38,0.537,12,33-19,10-6,22-19,22-19,,4-8,7-3,W 4
Bro,44,38,0.537,12,26-26,9-7,28-13,16-25,,3-4,5-5,L 2
Cha,43,39,0.524,13,30-22,6-10,25-16,18-23,,6-3,8-2,W 3
Atl,38,44,0.463,18,28-24,8-8,24-17,14-27,,4-1,7-3,W 1
Nyk,37,45,0.451,19,26-26,10-6,19-22,18-23,,2-3,7-3,W 4
Cle,33,49,0.402,23,21-31,7-9,19-22,14-27,,5-3,5-5,W 1
Det,29,53,0.354,27,23-29,6-10,17-24,12-29,,0-4,3-7,L 4
Bos,25,57,0.305,31,21-31,5-11,16-25,9-32,,1-1,2-8,L 2
Orl,23,59,0.28,33,17-35,4-12,19-22,4-37,,2-5,3-7,L 4
Phi,19,63,0.232,37,14-38,5-11,10-31,9-32,,4-1,4-6,W 2
Mil,15,67,0.183,41,12-40,4-12,10-31,5-36,,1-6,1-9,L 3
San,62,20,0.756,--,38-14,12-4,32-9,30-11,,2-0,6-4,L 2
Okc,59,23,0.72,3,36-16,11-5,34-7,25-16,,3-1,6-4,W 1
Lac,57,25,0.695,5,36-16,12-4,34-7,23-18,,2-1,7-3,L 1
Hou,54,28,0.659,8,31-21,11-5,33-8,21-20,,3-2,5-5,L 1
Por,54,28,0.659,8,31-21,13-3,31-10,23-18,,5-2,9-1,W 5
Gol,51,31,0.622,11,31-21,11-5,27-14,24-17,,3-3,6-4,W 2
Mem,50,32,0.61,12,29-23,4-12,27-14,23-18,,3-2,7-3,W 5
Dal,49,33,0.598,13,29-23,9-7,26-15,23-18,,1-5,6-4,L 1
Pho,48,34,0.585,14,28-24,8-8,26-15,22-19,,1-2,5-5,W 1
Min,40,42,0.488,22,23-29,7-9,24-17,16-25,,3-2,4-6,L 3
Den,36,46,0.439,26,20-32,5-11,22-19,14-27,,0-3,4-6,L 2
Nor,34,48,0.415,28,15-37,4-12,22-19,12-29,,5-0,2-8,W 2
Sac,28,54,0.341,34,15-37,3-13,17-24,11-30,,4-2,3-7,L 1
Lal,27,55,0.329,35,15-37,6-10,14-27,13-28,,0-1,3-7,W 2
Uta,25,57,0.305,37,13-39,4-12,16-25,9-32,,2-1,2-8,W 1
