Teams,Bos,Bro,Nyk,Phi,Tor,Chi,Cle,Det,Ind,Mil,Atl,Cha,Mia,Orl,Was,Den,Min,Okc,Port,Uta,Gol,Lac,Lal,Pho,Sac,Dal,Hou,Mem,Nol,San
Bos Win,0,2,3,3,2,2,4,3,3,1,4,2,3,0,3,0,2,2,0,0,1,0,1,1,2,1,0,2,2,0
Bos Played,0,4,4,4,4,3,4,4,4,3,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Bro Win,2,0,3,2,1,3,3,2,1,1,3,2,2,2,2,2,0,0,0,0,0,0,2,2,2,1,1,1,1,1
Bro Played,4,0,4,4,4,4,4,3,3,4,3,4,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Nyk Win,1,1,0,0,0,2,0,0,0,1,3,1,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,1
Nyk Played,4,4,0,4,4,3,3,4,4,4,4,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Phi Win,1,2,4,0,1,3,2,3,3,1,1,4,2,2,2,1,2,1,0,2,1,2,2,2,1,1,1,1,2,1
Phi Played,4,4,4,0,4,4,3,4,4,3,4,4,3,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Tor Win,2,3,4,3,0,4,3,0,2,1,3,1,4,2,4,0,2,1,1,2,2,2,2,2,2,2,0,2,1,1
Tor Played,4,4,4,4,0,4,4,3,3,4,3,3,4,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Chi Win,1,1,1,1,0,0,3,0,0,0,2,1,1,2,3,0,0,1,0,0,0,0,0,2,0,0,0,2,0,1
Chi Played,3,4,3,4,4,0,4,4,4,4,4,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Cle Win,0,1,3,1,1,1,0,1,1,1,1,1,0,1,2,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0
Cle Played,4,4,3,3,4,4,0,4,4,4,3,4,4,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Det Win,1,1,4,1,3,4,3,0,1,0,2,0,2,3,2,1,2,0,1,0,1,1,1,2,0,1,1,2,1,0
Det Played,4,3,4,4,3,4,4,0,4,4,3,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Ind Win,1,2,4,1,1,4,3,3,0,1,4,2,3,1,3,1,1,1,0,2,0,1,1,2,1,1,0,1,2,1
Ind Played,4,3,4,4,3,4,4,4,0,4,4,3,3,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
